"","year","block","level","diversity","transect","quadrat","treat","bare","litter","unit","replicate"
"2016 a 1 2 O2 5",2016,"a",1,2,"O2",5,"no",0,97.5,"a 1 2 O2","a 1"
"2016 a 1 2 O2 6",2016,"a",1,2,"O2",6,"no",0,85,"a 1 2 O2","a 1"
"2016 a 1 2 O2 7",2016,"a",1,2,"O2",7,"no",0,97.5,"a 1 2 O2","a 1"
"2016 a 1 2 O2 8",2016,"a",1,2,"O2",8,"no",3,85,"a 1 2 O2","a 1"
"2016 a 1 2 O3 1",2016,"a",1,2,"O3",1,"no",3,62.5,"a 1 2 O3","a 1"
"2016 a 1 2 O3 2",2016,"a",1,2,"O3",2,"no",0,85,"a 1 2 O3","a 1"
"2016 a 1 2 O3 3",2016,"a",1,2,"O3",3,"no",0,97.5,"a 1 2 O3","a 1"
"2016 a 1 2 O3 4",2016,"a",1,2,"O3",4,"no",0,97.5,"a 1 2 O3","a 1"
"2016 a 1 2 O3 5",2016,"a",1,2,"O3",5,"no",0,97.5,"a 1 2 O3","a 1"
"2016 a 1 2 O3 6",2016,"a",1,2,"O3",6,"no",0,85,"a 1 2 O3","a 1"
"2016 a 1 2 O3 7",2016,"a",1,2,"O3",7,"no",0,97.5,"a 1 2 O3","a 1"
"2016 a 1 2 O3 8",2016,"a",1,2,"O3",8,"no",0,97.5,"a 1 2 O3","a 1"
"2016 a 1 2 O4 1",2016,"a",1,2,"O4",1,"no",0,85,"a 1 2 O4","a 1"
"2016 a 1 2 O4 2",2016,"a",1,2,"O4",2,"no",3,85,"a 1 2 O4","a 1"
"2016 a 1 2 O4 3",2016,"a",1,2,"O4",3,"no",0,85,"a 1 2 O4","a 1"
"2016 a 1 2 O4 4",2016,"a",1,2,"O4",4,"no",0,85,"a 1 2 O4","a 1"
"2016 a 1 2 O4 5",2016,"a",1,2,"O4",5,"no",0,85,"a 1 2 O4","a 1"
"2016 a 1 2 O4 6",2016,"a",1,2,"O4",6,"no",0,97.5,"a 1 2 O4","a 1"
"2016 a 1 2 O4 7",2016,"a",1,2,"O4",7,"no",0,85,"a 1 2 O4","a 1"
"2016 a 1 2 O4 8",2016,"a",1,2,"O4",8,"no",0,85,"a 1 2 O4","a 1"
"2016 a 3 2 O1 1",2016,"a",3,2,"O1",1,"no",3,85,"a 3 2 O1","a 3"
"2016 a 3 2 O1 2",2016,"a",3,2,"O1",2,"no",0,97.5,"a 3 2 O1","a 3"
"2016 a 3 2 O1 3",2016,"a",3,2,"O1",3,"no",0,97.5,"a 3 2 O1","a 3"
"2016 a 3 2 O1 4",2016,"a",3,2,"O1",4,"no",0,97.5,"a 3 2 O1","a 3"
"2016 a 3 2 O1 5",2016,"a",3,2,"O1",5,"no",0,97.5,"a 3 2 O1","a 3"
"2016 a 3 2 O1 6",2016,"a",3,2,"O1",6,"no",3,85,"a 3 2 O1","a 3"
"2016 a 3 2 O1 7",2016,"a",3,2,"O1",7,"no",0,85,"a 3 2 O1","a 3"
"2016 a 3 2 O1 8",2016,"a",3,2,"O1",8,"no",0,97.5,"a 3 2 O1","a 3"
"2016 a 3 2 O2 1",2016,"a",3,2,"O2",1,"no",0,85,"a 3 2 O2","a 3"
"2016 a 3 2 O2 2",2016,"a",3,2,"O2",2,"no",0,97.5,"a 3 2 O2","a 3"
"2016 a 3 2 O2 3",2016,"a",3,2,"O2",3,"no",0,85,"a 3 2 O2","a 3"
"2016 a 3 2 O2 4",2016,"a",3,2,"O2",4,"no",0,62.5,"a 3 2 O2","a 3"
"2016 a 3 2 O2 5",2016,"a",3,2,"O2",5,"no",0,85,"a 3 2 O2","a 3"
"2016 a 3 2 O2 6",2016,"a",3,2,"O2",6,"no",0,85,"a 3 2 O2","a 3"
"2016 a 3 2 O2 7",2016,"a",3,2,"O2",7,"no",0,97.5,"a 3 2 O2","a 3"
"2016 a 3 2 O2 8",2016,"a",3,2,"O2",8,"no",0,97.5,"a 3 2 O2","a 3"
"2016 a 3 2 O3 1",2016,"a",3,2,"O3",1,"no",0,97.5,"a 3 2 O3","a 3"
"2016 a 3 2 O3 2",2016,"a",3,2,"O3",2,"no",0,97.5,"a 3 2 O3","a 3"
"2016 a 3 2 O3 3",2016,"a",3,2,"O3",3,"no",0,85,"a 3 2 O3","a 3"
"2016 a 3 2 O3 4",2016,"a",3,2,"O3",4,"no",0,85,"a 3 2 O3","a 3"
"2016 a 3 2 O3 5",2016,"a",3,2,"O3",5,"no",0,97.5,"a 3 2 O3","a 3"
"2016 a 3 2 O3 6",2016,"a",3,2,"O3",6,"no",0,85,"a 3 2 O3","a 3"
"2016 a 3 2 O3 7",2016,"a",3,2,"O3",7,"no",0,85,"a 3 2 O3","a 3"
"2016 a 3 2 O3 8",2016,"a",3,2,"O3",8,"no",0,85,"a 3 2 O3","a 3"
"2016 a 3 2 O4 1",2016,"a",3,2,"O4",1,"no",0,97.5,"a 3 2 O4","a 3"
"2016 a 3 2 O4 2",2016,"a",3,2,"O4",2,"no",0,85,"a 3 2 O4","a 3"
"2016 a 3 2 O4 3",2016,"a",3,2,"O4",3,"no",0,97.5,"a 3 2 O4","a 3"
"2016 a 3 2 O4 4",2016,"a",3,2,"O4",4,"no",0,62.5,"a 3 2 O4","a 3"
"2016 a 3 2 O4 5",2016,"a",3,2,"O4",5,"no",0,97.5,"a 3 2 O4","a 3"
"2016 a 3 2 O4 6",2016,"a",3,2,"O4",6,"no",0,97.5,"a 3 2 O4","a 3"
"2016 a 3 2 O4 7",2016,"a",3,2,"O4",7,"no",0,85,"a 3 2 O4","a 3"
"2016 a 3 2 O4 8",2016,"a",3,2,"O4",8,"no",0,97.5,"a 3 2 O4","a 3"
"2016 a 4 1 O1 1",2016,"a",4,1,"O1",1,"no",0,97.5,"a 4 1 O1","a 4"
"2016 a 4 1 O1 2",2016,"a",4,1,"O1",2,"no",0,97.5,"a 4 1 O1","a 4"
"2016 a 4 1 O1 3",2016,"a",4,1,"O1",3,"no",0,97.5,"a 4 1 O1","a 4"
"2016 a 4 1 O1 4",2016,"a",4,1,"O1",4,"no",0,85,"a 4 1 O1","a 4"
"2016 a 4 1 O1 5",2016,"a",4,1,"O1",5,"no",0,97.5,"a 4 1 O1","a 4"
"2016 a 4 1 O1 6",2016,"a",4,1,"O1",6,"no",0,97.5,"a 4 1 O1","a 4"
"2016 a 4 1 O1 7",2016,"a",4,1,"O1",7,"no",0,97.5,"a 4 1 O1","a 4"
"2016 a 4 1 O1 8",2016,"a",4,1,"O1",8,"no",0,97.5,"a 4 1 O1","a 4"
"2016 a 4 1 O2 1",2016,"a",4,1,"O2",1,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O2 2",2016,"a",4,1,"O2",2,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O2 3",2016,"a",4,1,"O2",3,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O2 4",2016,"a",4,1,"O2",4,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O2 5",2016,"a",4,1,"O2",5,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O2 6",2016,"a",4,1,"O2",6,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O2 7",2016,"a",4,1,"O2",7,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O2 8",2016,"a",4,1,"O2",8,"no",0,97.5,"a 4 1 O2","a 4"
"2016 a 4 1 O3 1",2016,"a",4,1,"O3",1,"no",0,97.5,"a 4 1 O3","a 4"
"2016 a 4 1 O3 2",2016,"a",4,1,"O3",2,"no",0,62.5,"a 4 1 O3","a 4"
"2016 a 4 1 O3 3",2016,"a",4,1,"O3",3,"no",0,97.5,"a 4 1 O3","a 4"
"2016 a 4 1 O3 4",2016,"a",4,1,"O3",4,"no",0,97.5,"a 4 1 O3","a 4"
"2016 a 4 1 O3 5",2016,"a",4,1,"O3",5,"no",0,97.5,"a 4 1 O3","a 4"
"2016 a 4 1 O3 6",2016,"a",4,1,"O3",6,"no",0,97.5,"a 4 1 O3","a 4"
"2016 a 4 1 O3 7",2016,"a",4,1,"O3",7,"no",15,62.5,"a 4 1 O3","a 4"
"2016 a 4 1 O3 8",2016,"a",4,1,"O3",8,"no",0,97.5,"a 4 1 O3","a 4"
"2016 a 4 1 O4 1",2016,"a",4,1,"O4",1,"no",0,97.5,"a 4 1 O4","a 4"
"2016 a 4 1 O4 2",2016,"a",4,1,"O4",2,"no",0,85,"a 4 1 O4","a 4"
"2016 a 4 1 O4 3",2016,"a",4,1,"O4",3,"no",0,85,"a 4 1 O4","a 4"
"2016 a 4 1 O4 4",2016,"a",4,1,"O4",4,"no",0,97.5,"a 4 1 O4","a 4"
"2016 a 4 1 O4 5",2016,"a",4,1,"O4",5,"no",0,97.5,"a 4 1 O4","a 4"
"2016 a 4 1 O4 6",2016,"a",4,1,"O4",6,"no",0,97.5,"a 4 1 O4","a 4"
"2016 a 4 1 O4 7",2016,"a",4,1,"O4",7,"no",0,97.5,"a 4 1 O4","a 4"
"2016 a 4 1 O4 8",2016,"a",4,1,"O4",8,"no",0,97.5,"a 4 1 O4","a 4"
"2016 b 2 1 O1 1",2016,"b",2,1,"O1",1,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O1 2",2016,"b",2,1,"O1",2,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O1 3",2016,"b",2,1,"O1",3,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O1 4",2016,"b",2,1,"O1",4,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O1 5",2016,"b",2,1,"O1",5,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O1 6",2016,"b",2,1,"O1",6,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O1 7",2016,"b",2,1,"O1",7,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O1 8",2016,"b",2,1,"O1",8,"no",0,97.5,"b 2 1 O1","b 2"
"2016 b 2 1 O2 1",2016,"b",2,1,"O2",1,"no",0,97.5,"b 2 1 O2","b 2"
"2016 b 2 1 O2 2",2016,"b",2,1,"O2",2,"no",0,97.5,"b 2 1 O2","b 2"
"2016 b 2 1 O2 3",2016,"b",2,1,"O2",3,"no",0,97.5,"b 2 1 O2","b 2"
"2016 b 2 1 O2 4",2016,"b",2,1,"O2",4,"no",0,97.5,"b 2 1 O2","b 2"
"2016 b 2 1 O2 5",2016,"b",2,1,"O2",5,"no",0,97.5,"b 2 1 O2","b 2"
"2016 b 2 1 O2 6",2016,"b",2,1,"O2",6,"no",0,97.5,"b 2 1 O2","b 2"
"2016 b 2 1 O2 7",2016,"b",2,1,"O2",7,"no",0,85,"b 2 1 O2","b 2"
"2016 b 2 1 O2 8",2016,"b",2,1,"O2",8,"no",0,97.5,"b 2 1 O2","b 2"
"2016 b 2 1 O3 1",2016,"b",2,1,"O3",1,"no",0,85,"b 2 1 O3","b 2"
"2016 b 2 1 O3 2",2016,"b",2,1,"O3",2,"no",0,97.5,"b 2 1 O3","b 2"
"2016 b 2 1 O3 3",2016,"b",2,1,"O3",3,"no",0,97.5,"b 2 1 O3","b 2"
"2016 b 2 1 O3 4",2016,"b",2,1,"O3",4,"no",0,97.5,"b 2 1 O3","b 2"
"2016 b 2 1 O3 5",2016,"b",2,1,"O3",5,"no",0,97.5,"b 2 1 O3","b 2"
"2016 b 2 1 O3 6",2016,"b",2,1,"O3",6,"no",0,97.5,"b 2 1 O3","b 2"
"2016 b 2 1 O3 7",2016,"b",2,1,"O3",7,"no",0,97.5,"b 2 1 O3","b 2"
"2016 b 2 1 O3 8",2016,"b",2,1,"O3",8,"no",0,97.5,"b 2 1 O3","b 2"
"2016 b 2 1 O4 1",2016,"b",2,1,"O4",1,"no",0,97.5,"b 2 1 O4","b 2"
"2016 b 2 1 O4 2",2016,"b",2,1,"O4",2,"no",0,97.5,"b 2 1 O4","b 2"
"2016 b 2 1 O4 3",2016,"b",2,1,"O4",3,"no",0,97.5,"b 2 1 O4","b 2"
"2016 b 2 1 O4 4",2016,"b",2,1,"O4",4,"no",0,97.5,"b 2 1 O4","b 2"
"2016 b 2 1 O4 5",2016,"b",2,1,"O4",5,"no",0,97.5,"b 2 1 O4","b 2"
"2016 b 2 1 O4 6",2016,"b",2,1,"O4",6,"no",0,85,"b 2 1 O4","b 2"
"2016 b 2 1 O4 7",2016,"b",2,1,"O4",7,"no",0,97.5,"b 2 1 O4","b 2"
"2016 b 2 1 O4 8",2016,"b",2,1,"O4",8,"no",0,97.5,"b 2 1 O4","b 2"
"2016 b 4 2 O1 1",2016,"b",4,2,"O1",1,"no",0,97.5,"b 4 2 O1","b 4"
"2016 b 4 2 O1 2",2016,"b",4,2,"O1",2,"no",0,97.5,"b 4 2 O1","b 4"
"2016 b 4 2 O1 3",2016,"b",4,2,"O1",3,"no",0,97.5,"b 4 2 O1","b 4"
"2016 b 4 2 O1 4",2016,"b",4,2,"O1",4,"no",0,97.5,"b 4 2 O1","b 4"
"2016 b 4 2 O1 5",2016,"b",4,2,"O1",5,"no",0,97.5,"b 4 2 O1","b 4"
"2016 b 4 2 O1 6",2016,"b",4,2,"O1",6,"no",0,97.5,"b 4 2 O1","b 4"
"2016 b 4 2 O1 7",2016,"b",4,2,"O1",7,"no",0,97.5,"b 4 2 O1","b 4"
"2016 b 4 2 O1 8",2016,"b",4,2,"O1",8,"no",0,62.5,"b 4 2 O1","b 4"
"2016 b 4 2 O2 1",2016,"b",4,2,"O2",1,"no",3,85,"b 4 2 O2","b 4"
"2016 b 4 2 O2 2",2016,"b",4,2,"O2",2,"no",0,97.5,"b 4 2 O2","b 4"
"2016 b 4 2 O2 3",2016,"b",4,2,"O2",3,"no",3,85,"b 4 2 O2","b 4"
"2016 b 4 2 O2 4",2016,"b",4,2,"O2",4,"no",0,62.5,"b 4 2 O2","b 4"
"2016 b 4 2 O2 5",2016,"b",4,2,"O2",5,"no",3,85,"b 4 2 O2","b 4"
"2016 b 4 2 O2 6",2016,"b",4,2,"O2",6,"no",0,97.5,"b 4 2 O2","b 4"
"2016 b 4 2 O2 7",2016,"b",4,2,"O2",7,"no",0,85,"b 4 2 O2","b 4"
"2016 b 4 2 O2 8",2016,"b",4,2,"O2",8,"no",3,0,"b 4 2 O2","b 4"
"2016 b 4 2 O3 1",2016,"b",4,2,"O3",1,"no",0,62.5,"b 4 2 O3","b 4"
"2016 b 4 2 O3 2",2016,"b",4,2,"O3",2,"no",15,62.5,"b 4 2 O3","b 4"
"2016 b 4 2 O3 3",2016,"b",4,2,"O3",3,"no",0,85,"b 4 2 O3","b 4"
"2016 b 4 2 O3 4",2016,"b",4,2,"O3",4,"no",0,97.5,"b 4 2 O3","b 4"
"2016 b 4 2 O3 5",2016,"b",4,2,"O3",5,"no",0,97.5,"b 4 2 O3","b 4"
"2016 b 4 2 O3 6",2016,"b",4,2,"O3",6,"no",0,85,"b 4 2 O3","b 4"
"2016 b 4 2 O3 7",2016,"b",4,2,"O3",7,"no",0,97.5,"b 4 2 O3","b 4"
"2016 b 4 2 O3 8",2016,"b",4,2,"O3",8,"no",0,97.5,"b 4 2 O3","b 4"
"2016 b 4 2 O4 1",2016,"b",4,2,"O4",1,"no",0,97.5,"b 4 2 O4","b 4"
"2016 b 4 2 O4 2",2016,"b",4,2,"O4",2,"no",3,62.5,"b 4 2 O4","b 4"
"2016 b 4 2 O4 3",2016,"b",4,2,"O4",3,"no",0,97.5,"b 4 2 O4","b 4"
"2016 b 4 2 O4 4",2016,"b",4,2,"O4",4,"no",3,62.5,"b 4 2 O4","b 4"
"2016 b 4 2 O4 5",2016,"b",4,2,"O4",5,"no",0,85,"b 4 2 O4","b 4"
"2016 b 4 2 O4 6",2016,"b",4,2,"O4",6,"no",0,97.5,"b 4 2 O4","b 4"
"2016 b 4 2 O4 7",2016,"b",4,2,"O4",7,"no",0,97.5,"b 4 2 O4","b 4"
"2016 b 4 2 O4 8",2016,"b",4,2,"O4",8,"no",3,62.5,"b 4 2 O4","b 4"
"2016 c 1 1 O1 1",2016,"c",1,1,"O1",1,"no",0,85,"c 1 1 O1","c 1"
"2016 c 1 1 O1 2",2016,"c",1,1,"O1",2,"no",0,85,"c 1 1 O1","c 1"
"2016 c 1 1 O1 3",2016,"c",1,1,"O1",3,"no",0,85,"c 1 1 O1","c 1"
"2016 c 1 1 O1 4",2016,"c",1,1,"O1",4,"no",0,85,"c 1 1 O1","c 1"
"2016 c 1 1 O1 5",2016,"c",1,1,"O1",5,"no",0,97.5,"c 1 1 O1","c 1"
"2016 c 1 1 O1 6",2016,"c",1,1,"O1",6,"no",0,85,"c 1 1 O1","c 1"
"2016 c 1 1 O1 7",2016,"c",1,1,"O1",7,"no",0,97.5,"c 1 1 O1","c 1"
"2016 c 1 1 O1 8",2016,"c",1,1,"O1",8,"no",0,97.5,"c 1 1 O1","c 1"
"2016 c 1 1 O2 1",2016,"c",1,1,"O2",1,"no",0,85,"c 1 1 O2","c 1"
"2016 c 1 1 O2 2",2016,"c",1,1,"O2",2,"no",0,62.5,"c 1 1 O2","c 1"
"2016 c 1 1 O2 3",2016,"c",1,1,"O2",3,"no",0,85,"c 1 1 O2","c 1"
"2016 c 1 1 O2 4",2016,"c",1,1,"O2",4,"no",0,85,"c 1 1 O2","c 1"
"2016 c 1 1 O2 5",2016,"c",1,1,"O2",5,"no",0,97.5,"c 1 1 O2","c 1"
"2016 c 1 1 O2 6",2016,"c",1,1,"O2",6,"no",0,85,"c 1 1 O2","c 1"
"2016 c 1 1 O2 7",2016,"c",1,1,"O2",7,"no",0,97.5,"c 1 1 O2","c 1"
"2016 c 1 1 O2 8",2016,"c",1,1,"O2",8,"no",0,97.5,"c 1 1 O2","c 1"
"2016 c 1 1 O3 1",2016,"c",1,1,"O3",1,"no",0,85,"c 1 1 O3","c 1"
"2016 c 1 1 O3 2",2016,"c",1,1,"O3",2,"no",0,85,"c 1 1 O3","c 1"
"2016 c 1 1 O3 3",2016,"c",1,1,"O3",3,"no",0,97.5,"c 1 1 O3","c 1"
"2016 c 1 1 O3 4",2016,"c",1,1,"O3",4,"no",0,97.5,"c 1 1 O3","c 1"
"2016 c 1 1 O3 5",2016,"c",1,1,"O3",5,"no",0,85,"c 1 1 O3","c 1"
"2016 c 1 1 O3 6",2016,"c",1,1,"O3",6,"no",0,97.5,"c 1 1 O3","c 1"
"2016 c 1 1 O3 7",2016,"c",1,1,"O3",7,"no",0,97.5,"c 1 1 O3","c 1"
"2016 c 1 1 O3 8",2016,"c",1,1,"O3",8,"no",0,85,"c 1 1 O3","c 1"
"2016 c 1 1 O4 1",2016,"c",1,1,"O4",1,"no",0,97.5,"c 1 1 O4","c 1"
"2016 c 1 1 O4 2",2016,"c",1,1,"O4",2,"no",0,97.5,"c 1 1 O4","c 1"
"2016 c 1 1 O4 3",2016,"c",1,1,"O4",3,"no",0,97.5,"c 1 1 O4","c 1"
"2016 c 1 1 O4 4",2016,"c",1,1,"O4",4,"no",0,85,"c 1 1 O4","c 1"
"2016 c 1 1 O4 5",2016,"c",1,1,"O4",5,"no",0,97.5,"c 1 1 O4","c 1"
"2016 c 1 1 O4 6",2016,"c",1,1,"O4",6,"no",0,97.5,"c 1 1 O4","c 1"
"2016 c 1 1 O4 7",2016,"c",1,1,"O4",7,"no",0,85,"c 1 1 O4","c 1"
"2016 c 1 1 O4 8",2016,"c",1,1,"O4",8,"no",0,97.5,"c 1 1 O4","c 1"
"2016 c 2 2 O1 3",2016,"c",2,2,"O1",3,"no",0,85,"c 2 2 O1","c 2"
"2016 c 2 2 O1 4",2016,"c",2,2,"O1",4,"no",0,85,"c 2 2 O1","c 2"
"2016 c 2 2 O1 5",2016,"c",2,2,"O1",5,"no",0,97.5,"c 2 2 O1","c 2"
"2016 c 2 2 O1 6",2016,"c",2,2,"O1",6,"no",0,85,"c 2 2 O1","c 2"
"2016 c 2 2 O1 7",2016,"c",2,2,"O1",7,"no",0,85,"c 2 2 O1","c 2"
"2016 c 2 2 O1 8",2016,"c",2,2,"O1",8,"no",3,85,"c 2 2 O1","c 2"
"2016 c 2 2 O2 1",2016,"c",2,2,"O2",1,"no",0,85,"c 2 2 O2","c 2"
"2016 c 2 2 O2 2",2016,"c",2,2,"O2",2,"no",0,97.5,"c 2 2 O2","c 2"
"2016 c 2 2 O2 3",2016,"c",2,2,"O2",3,"no",0,85,"c 2 2 O2","c 2"
"2016 c 2 2 O2 4",2016,"c",2,2,"O2",4,"no",0,85,"c 2 2 O2","c 2"
"2016 c 2 2 O2 5",2016,"c",2,2,"O2",5,"no",0,97.5,"c 2 2 O2","c 2"
"2016 c 2 2 O2 6",2016,"c",2,2,"O2",6,"no",0,97.5,"c 2 2 O2","c 2"
"2016 c 2 2 O2 7",2016,"c",2,2,"O2",7,"no",0,97.5,"c 2 2 O2","c 2"
"2016 c 2 2 O2 8",2016,"c",2,2,"O2",8,"no",0,97.5,"c 2 2 O2","c 2"
"2016 c 2 2 O3 1",2016,"c",2,2,"O3",1,"no",0,85,"c 2 2 O3","c 2"
"2016 c 2 2 O3 2",2016,"c",2,2,"O3",2,"no",0,85,"c 2 2 O3","c 2"
"2016 c 2 2 O3 3",2016,"c",2,2,"O3",3,"no",0,97.5,"c 2 2 O3","c 2"
"2016 c 2 2 O3 4",2016,"c",2,2,"O3",4,"no",0,97.5,"c 2 2 O3","c 2"
"2016 c 2 2 O3 5",2016,"c",2,2,"O3",5,"no",0,97.5,"c 2 2 O3","c 2"
"2016 c 2 2 O3 6",2016,"c",2,2,"O3",6,"no",0,97.5,"c 2 2 O3","c 2"
"2016 c 2 2 O3 7",2016,"c",2,2,"O3",7,"no",0,97.5,"c 2 2 O3","c 2"
"2016 c 2 2 O3 8",2016,"c",2,2,"O3",8,"no",0,97.5,"c 2 2 O3","c 2"
"2016 c 2 2 O4 1",2016,"c",2,2,"O4",1,"no",0,97.5,"c 2 2 O4","c 2"
"2016 c 2 2 O4 2",2016,"c",2,2,"O4",2,"no",0,85,"c 2 2 O4","c 2"
"2016 c 2 2 O4 3",2016,"c",2,2,"O4",3,"no",0,85,"c 2 2 O4","c 2"
"2016 c 2 2 O4 4",2016,"c",2,2,"O4",4,"no",0,97.5,"c 2 2 O4","c 2"
"2016 c 2 2 O4 5",2016,"c",2,2,"O4",5,"no",0,97.5,"c 2 2 O4","c 2"
"2016 c 2 2 O4 6",2016,"c",2,2,"O4",6,"no",0,97.5,"c 2 2 O4","c 2"
"2016 c 2 2 O4 7",2016,"c",2,2,"O4",7,"no",0,85,"c 2 2 O4","c 2"
"2016 c 2 2 O4 8",2016,"c",2,2,"O4",8,"no",0,85,"c 2 2 O4","c 2"
"2016 c 4 1 O1 1",2016,"c",4,1,"O1",1,"no",0,85,"c 4 1 O1","c 4"
"2016 c 4 1 O1 2",2016,"c",4,1,"O1",2,"no",0,97.5,"c 4 1 O1","c 4"
"2016 c 4 1 O1 3",2016,"c",4,1,"O1",3,"no",0,97.5,"c 4 1 O1","c 4"
"2016 c 4 1 O1 4",2016,"c",4,1,"O1",4,"no",0,97.5,"c 4 1 O1","c 4"
"2016 c 4 1 O1 5",2016,"c",4,1,"O1",5,"no",0,85,"c 4 1 O1","c 4"
"2016 c 4 1 O1 6",2016,"c",4,1,"O1",6,"no",0,97.5,"c 4 1 O1","c 4"
"2016 c 4 1 O1 7",2016,"c",4,1,"O1",7,"no",0,85,"c 4 1 O1","c 4"
"2016 c 4 1 O1 8",2016,"c",4,1,"O1",8,"no",37.5,37.5,"c 4 1 O1","c 4"
"2016 c 4 1 O2 1",2016,"c",4,1,"O2",1,"no",0,97.5,"c 4 1 O2","c 4"
"2016 c 4 1 O2 2",2016,"c",4,1,"O2",2,"no",0,97.5,"c 4 1 O2","c 4"
"2016 c 4 1 O2 3",2016,"c",4,1,"O2",3,"no",0,97.5,"c 4 1 O2","c 4"
"2016 c 4 1 O2 4",2016,"c",4,1,"O2",4,"no",0,97.5,"c 4 1 O2","c 4"
"2016 c 4 1 O2 5",2016,"c",4,1,"O2",5,"no",0,97.5,"c 4 1 O2","c 4"
"2016 c 4 1 O2 6",2016,"c",4,1,"O2",6,"no",0,97.5,"c 4 1 O2","c 4"
"2016 c 4 1 O3 1",2016,"c",4,1,"O3",1,"no",0,85,"c 4 1 O3","c 4"
"2016 c 4 1 O3 2",2016,"c",4,1,"O3",2,"no",0,97.5,"c 4 1 O3","c 4"
"2016 c 4 1 O3 3",2016,"c",4,1,"O3",3,"no",0,97.5,"c 4 1 O3","c 4"
"2016 c 4 1 O3 4",2016,"c",4,1,"O3",4,"no",0,85,"c 4 1 O3","c 4"
"2016 c 4 1 O3 5",2016,"c",4,1,"O3",5,"no",0,97.5,"c 4 1 O3","c 4"
"2016 c 4 1 O3 6",2016,"c",4,1,"O3",6,"no",0,97.5,"c 4 1 O3","c 4"
"2016 c 4 1 O3 7",2016,"c",4,1,"O3",7,"no",0,97.5,"c 4 1 O3","c 4"
"2016 c 4 1 O3 8",2016,"c",4,1,"O3",8,"no",0,97.5,"c 4 1 O3","c 4"
"2016 c 4 1 O4 1",2016,"c",4,1,"O4",1,"no",0,97.5,"c 4 1 O4","c 4"
"2016 c 4 1 O4 2",2016,"c",4,1,"O4",2,"no",0,97.5,"c 4 1 O4","c 4"
"2016 c 4 1 O4 3",2016,"c",4,1,"O4",3,"no",0,97.5,"c 4 1 O4","c 4"
"2016 c 4 1 O4 4",2016,"c",4,1,"O4",4,"no",0,97.5,"c 4 1 O4","c 4"
"2016 c 4 1 O4 5",2016,"c",4,1,"O4",5,"no",0,97.5,"c 4 1 O4","c 4"
"2016 c 4 1 O4 6",2016,"c",4,1,"O4",6,"no",0,97.5,"c 4 1 O4","c 4"
"2016 c 4 1 O4 7",2016,"c",4,1,"O4",7,"no",0,97.5,"c 4 1 O4","c 4"
"2016 c 4 1 O4 8",2016,"c",4,1,"O4",8,"no",0,85,"c 4 1 O4","c 4"
